,gameid,teamname,gamelength,result,game,patch,playoffs,ckpm,side,ban1,ban2,ban3,ban4,ban5,teamkills,teamdeaths,firstblood,team kpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
41723,ESPORTSTMNT01_2783230,RED Canids,1991,0,1,12.04,0,1.0246,Red,Jayce,Zeri,Jinx,Ryze,Kennen,13,21,0.0,0.3918,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,10.0,0.0,0.0,4.0,6.0,0.0,2.0,57276.0,1726.0472,3103.7268,2592.1748,137.0,4.1286,45.0,1.3561,49.0,254.0,7.6544,55437,33751.0,1017.107,54225.0,-0.132877,,838.0,202.0,,,31.341,15117.0,18054.0,321.0,15295.0,18059.0,303.0,-178.0,-5.0,18.0,1.0,2.0,2.0,2.0,5.0,1.0,24107.0,28909.0,494.0,25621.0,30092.0,508.0,-1514.0,-1183.0,-14.0,3.0,6.0,4.0,4.0,9.0,3.0
43150,ESPORTSTMNT02_2660083,Netshoes Miners,2203,1,1,12.05,0,1.0077,Blue,Xin Zhao,Jarvan IV,Caitlyn,Gnar,Gwen,23,14,1.0,0.6264,0.0,2.0,3.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,4.0,0.0,0.0,1.0,7.0,1.0,0.0,88559.0,2411.9564,3034.1807,3507.6441,146.0,3.9764,62.0,1.6886,68.0,294.0,8.0073,68838,44989.0,1225.3019,60733.0,0.0186633,,892.0,247.0,,,31.0213,15896.0,18542.0,340.0,16253.0,19408.0,361.0,-357.0,-866.0,-21.0,2.0,6.0,2.0,2.0,3.0,2.0,24658.0,30123.0,533.0,26450.0,30848.0,558.0,-1792.0,-725.0,-25.0,4.0,9.0,4.0,4.0,7.0,4.0
43151,ESPORTSTMNT02_2660083,Liberty,2203,0,1,12.05,0,1.0077,Red,Vex,Ryze,Jayce,Hecarim,Diana,14,23,0.0,0.3813,1.0,3.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,9.0,1.0,1.0,7.0,1.0,0.0,1.0,78712.0,2143.7676,3096.8498,3284.6119,142.0,3.8675,69.0,1.8793,62.0,328.0,8.9333,60510,36661.0,998.4839,59610.0,-0.0186633,,868.0,245.0,,,30.3132,16253.0,19408.0,361.0,15896.0,18542.0,340.0,357.0,866.0,21.0,2.0,3.0,2.0,2.0,6.0,2.0,26450.0,30848.0,558.0,24658.0,30123.0,533.0,1792.0,725.0,25.0,4.0,7.0,4.0,4.0,9.0,4.0
43210,ESPORTSTMNT02_2660115,Flamengo Esports,2712,0,1,12.05,0,0.8186,Blue,Renata Glasc,Caitlyn,Ryze,Tahm Kench,Malphite,15,22,0.0,0.3319,1.0,2.0,4.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,9.0,0.0,0.0,2.0,8.0,0.0,1.0,86640.0,1916.8142,2314.0708,2778.6283,170.0,3.7611,70.0,1.5487,61.0,349.0,7.7212,77803,48763.0,1078.8274,74718.0,-0.0515295,,1190.0,328.0,,,33.5841,16194.0,18675.0,328.0,18203.0,19190.0,336.0,-2009.0,-515.0,-8.0,3.0,6.0,4.0,4.0,7.0,3.0,25152.0,30521.0,533.0,28393.0,31677.0,568.0,-3241.0,-1156.0,-35.0,5.0,10.0,5.0,5.0,8.0,5.0
43211,ESPORTSTMNT02_2660115,Rensga eSports,2712,1,1,12.05,0,0.8186,Red,Lee Sin,Vex,Gwen,LeBlanc,Yasuo,22,15,1.0,0.4867,0.0,4.0,2.0,4.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,9.0,6.0,1.0,1.0,8.0,2.0,1.0,0.0,76820.0,1699.5575,2566.3274,4333.4292,159.0,3.5177,92.0,2.0354,66.0,458.0,10.1327,86260,57220.0,1265.9292,78670.0,0.0515295,,1220.0,272.0,,,33.0088,18203.0,19190.0,336.0,16194.0,18675.0,328.0,2009.0,515.0,8.0,4.0,7.0,3.0,3.0,6.0,4.0,28393.0,31677.0,568.0,25152.0,30521.0,533.0,3241.0,1156.0,35.0,5.0,8.0,5.0,5.0,10.0,5.0
43258,ESPORTSTMNT02_2660149,LOUD,2772,0,1,12.05,0,0.7359,Blue,Jayce,Lee Sin,Aphelios,Viego,Vex,14,20,0.0,0.303,0.0,3.0,4.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,5.0,9.0,0.0,0.0,4.0,6.0,0.0,1.0,99231.0,2147.8571,3203.5498,2648.6147,194.0,4.1991,75.0,1.6234,78.0,367.0,7.9437,77593,47941.0,1037.684,74383.0,-0.0606448,,1216.0,296.0,,,32.7273,14676.0,17526.0,297.0,15884.0,18401.0,326.0,-1208.0,-875.0,-29.0,1.0,1.0,3.0,3.0,2.0,1.0,23060.0,29767.0,498.0,23740.0,28537.0,508.0,-680.0,1230.0,-10.0,2.0,3.0,3.0,3.0,2.0,2.0
43259,ESPORTSTMNT02_2660149,KaBuM! e-Sports,2772,1,1,12.05,0,0.7359,Red,Twisted Fate,Caitlyn,Hecarim,Ryze,Jarvan IV,20,14,1.0,0.4329,1.0,4.0,3.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,9.0,5.0,1.0,1.0,6.0,4.0,1.0,0.0,116974.0,2531.9048,3001.7316,2357.7706,149.0,3.2251,95.0,2.0563,66.0,423.0,9.1558,83433,53781.0,1164.0909,79035.0,0.0606448,,1128.0,288.0,,,30.6494,15884.0,18401.0,326.0,14676.0,17526.0,297.0,1208.0,875.0,29.0,3.0,2.0,1.0,1.0,1.0,3.0,23740.0,28537.0,508.0,23060.0,29767.0,498.0,680.0,-1230.0,10.0,3.0,2.0,2.0,2.0,3.0,3.0
43318,ESPORTSTMNT02_2660180,FURIA,2300,1,1,12.05,0,0.4696,Blue,Lee Sin,Tryndamere,Caitlyn,Camille,Yone,13,5,0.0,0.3391,1.0,3.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,10.0,5.0,0.0,0.0,1.0,8.0,3.0,0.0,58705.0,1531.4348,2217.1043,2155.6174,152.0,3.9652,65.0,1.6957,57.0,329.0,8.5826,71269,46431.0,1211.2435,62475.0,-0.0242404,,1005.0,303.0,,,34.1217,14591.0,18320.0,317.0,15742.0,19404.0,344.0,-1151.0,-1084.0,-27.0,0.0,0.0,1.0,1.0,2.0,0.0,22896.0,29329.0,524.0,25138.0,30603.0,549.0,-2242.0,-1274.0,-25.0,0.0,0.0,1.0,1.0,2.0,0.0
43319,ESPORTSTMNT02_2660180,RED Canids,2300,0,1,12.05,0,0.4696,Red,Leona,Zeri,Jinx,Jayce,Zoe,5,13,1.0,0.1304,0.0,2.0,3.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,5.0,10.0,1.0,1.0,8.0,1.0,0.0,3.0,47193.0,1231.1217,2114.4261,2442.9913,131.0,3.4174,65.0,1.6957,61.0,297.0,7.7478,64316,39478.0,1029.8609,64008.0,0.0242404,,1041.0,277.0,,,34.3826,15742.0,19404.0,344.0,14591.0,18320.0,317.0,1151.0,1084.0,27.0,1.0,2.0,0.0,0.0,0.0,1.0,25138.0,30603.0,549.0,22896.0,29329.0,524.0,2242.0,1274.0,25.0,1.0,2.0,0.0,0.0,0.0,1.0
43342,ESPORTSTMNT02_2660207,INTZ,1614,0,1,12.05,0,0.7435,Blue,Twisted Fate,Ryze,Thresh,Braum,Ahri,4,16,0.0,0.1487,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,8.0,1.0,0.0,5.0,6.0,0.0,1.0,26445.0,983.0855,2161.7844,1698.4015,86.0,3.197,30.0,1.1152,35.0,173.0,6.4312,42708,24867.0,924.4238,40351.0,-0.178305,,655.0,187.0,,,31.3011,14651.0,18265.0,320.0,15207.0,17922.0,318.0,-556.0,343.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,24165.0,29446.0,498.0,25619.0,29590.0,518.0,-1454.0,-144.0,-20.0,3.0,7.0,4.0,4.0,7.0,3.0
